"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","PlayerURL"
"106",NA,"2023 Atlético Mineiro","Série A","Isaac","BRA","FW","18",0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,"https://fbref.com/en/players/f689c342/Isaac"
"107",NA,"2023 Atlético Mineiro","Série A","Paulo Vitor","BRA","MF","18",0.2,17,17,0,0,0,0,0,0,0,0,0,0,17,0,0,"https://fbref.com/en/players/efe7683f/Paulo-Vitor"
"108",NA,"2023 Atlético Mineiro","Série A","Carlos Eduardo","BRA","MF,FW","18",0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"https://fbref.com/en/players/6fefa986/Carlos-Eduardo"
"109",NA,"2023 Flamengo","Série A","Fabrício Bruno","BRA","DF","26",34,2264,2136,126,98,1,42,14,22,0,0,0,0,2017,2,10,"https://fbref.com/en/players/470d197b/Fabricio-Bruno"
"110",NA,"2023 Flamengo","Série A","Léo Pereira","BRA","DF","27",29.4,2098,1985,105,66,2,15,11,26,0,0,0,0,1851,8,13,"https://fbref.com/en/players/bd247251/Leo-Pereira"
"111",NA,"2023 Flamengo","Série A","Gerson","BRA","MF","25",29.9,1521,1445,70,42,9,10,32,23,0,0,0,0,1305,6,41,"https://fbref.com/en/players/8827bf46/Gerson"
"112",NA,"2023 Flamengo","Série A","Ayrton Lucas","BRA","DF","25",28.8,1846,1622,223,23,2,11,72,200,0,0,0,0,1578,1,35,"https://fbref.com/en/players/db90b737/Ayrton-Lucas"
"113",NA,"2023 Flamengo","Série A","Wesley","BRA","DF","19",27.9,1501,1275,223,23,0,4,65,200,0,0,0,0,1283,3,37,"https://fbref.com/en/players/f2c49c79/Wesley"
"114",NA,"2023 Flamengo","Série A","Pedro","BRA","FW","25",23.9,392,361,31,2,0,3,4,0,0,0,0,0,300,0,10,"https://fbref.com/en/players/1ab6fad3/Pedro"
"115",NA,"2023 Flamengo","Série A","Thiago Maia","BRA","MF","25",23.3,1447,1396,49,24,2,9,9,25,0,0,0,0,1266,2,9,"https://fbref.com/en/players/91e58f66/Thiago-Maia"
"116",NA,"2023 Flamengo","Série A","Erick Pulgar","CHI","MF","29",22.2,1373,1329,42,28,4,5,18,1,13,7,2,0,1210,2,19,"https://fbref.com/en/players/4611e028/Erick-Pulgar"
"117",NA,"2023 Flamengo","Série A","Giorgian De Arrascaeta","URU","MF,FW","28",20.5,1051,912,134,42,8,8,119,16,68,23,31,2,773,5,34,"https://fbref.com/en/players/be8d02dd/Giorgian-De-Arrascaeta"
"118",NA,"2023 Flamengo","Série A","Everton Soares","BRA","FW,MF","26",19.3,701,635,65,14,3,2,76,12,38,21,9,0,540,1,21,"https://fbref.com/en/players/b1cbc666/Everton-Soares"
"119",NA,"2023 Flamengo","Série A","Matheus Cunha","BRA","GK","21",17.6,727,596,130,28,0,1,0,0,0,0,0,0,578,1,1,"https://fbref.com/en/players/9475960a/Matheus-Cunha"
"120",NA,"2023 Flamengo","Série A","Gabriel Barbosa","BRA","FW","26",17.1,534,456,75,8,1,6,25,8,26,8,2,1,428,3,12,"https://fbref.com/en/players/72d0e1b6/Gabriel-Barbosa"
"121",NA,"2023 Flamengo","Série A","Everton Ribeiro","BRA","FW,MF","33",16.4,943,865,74,27,4,11,58,14,33,16,10,0,751,4,20,"https://fbref.com/en/players/68fb50a2/Everton-Ribeiro"
"122",NA,"2023 Flamengo","Série A","Agustín Rossi","ARG","GK","27",15,512,382,128,34,0,1,0,0,0,0,0,0,394,2,0,"https://fbref.com/en/players/ef223e5f/Agustin-Rossi"
"123",NA,"2023 Flamengo","Série A","Bruno Henrique","BRA","FW,MF","32",17.1,502,490,12,1,3,3,30,10,1,0,0,0,378,0,19,"https://fbref.com/en/players/5edff24f/Bruno-Henrique"
"124",NA,"2023 Flamengo","Série A","Victor Hugo","BRA","MF,FW","18",14.2,674,657,15,9,5,6,11,2,3,2,1,0,575,2,12,"https://fbref.com/en/players/33fca7f7/Victor-Hugo"
"125",NA,"2023 Flamengo","Série A","David Luiz","BRA","DF","35",11,729,667,60,44,0,5,5,2,0,0,0,0,633,2,4,"https://fbref.com/en/players/c0e27d1a/David-Luiz"
"126",NA,"2023 Flamengo","Série A","Luiz Araújo","BRA","FW,MF","26",8.7,388,356,31,4,1,11,37,8,19,10,4,0,291,1,15,"https://fbref.com/en/players/fa18c72e/Luiz-Araujo"
"127",NA,"2023 Flamengo","Série A","Matheuzinho","BRA","DF","22",6.9,397,339,57,10,0,6,16,47,0,0,0,0,333,1,6,"https://fbref.com/en/players/2a5bc0cd/Matheuzinho"
