"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time"
"11",NA,"2023 Palmeiras","Série A","Richard Ríos","COL","MF","22",37,20,1853,20.6,2,1,3,2,0,0,6,0,1.2,1.2,1,2.1,41,63,67,0.1,0.05,0.15,0.1,0.15,0.06,0.05,0.1,0.06,0.1,"https://fbref.com/en/players/72da065d/Richard-Rios",NA
"12",NA,"2023 Palmeiras","Série A","Rony","BRA","FW","27",30,19,1639,18.2,5,0,5,5,0,0,3,0,6.1,6.1,1.6,7.7,17,11,99,0.27,0,0.27,0.27,0.27,0.34,0.09,0.42,0.34,0.42,"https://fbref.com/en/players/bffd5e50/Rony",NA
"13",NA,"2023 Palmeiras","Série A","Endrick","BRA","FW","16",31,18,1558,17.3,11,0,11,11,0,1,4,0,8.1,7.3,1.8,9.1,58,45,100,0.64,0,0.64,0.64,0.64,0.47,0.11,0.57,0.42,0.53,"https://fbref.com/en/players/a2728fbf/Endrick",NA
"14",NA,"2023 Palmeiras","Série A","Marcos Rocha","BRA","DF","34",20,15,1264,14,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.2,20,95,31,0.07,0.07,0.14,0.07,0.14,0.03,0.06,0.09,0.03,0.09,"https://fbref.com/en/players/fdd2f275/Marcos-Rocha",NA
"15",NA,"2023 Palmeiras","Série A","Breno","BRA","FW","27",31,14,1365,15.2,5,3,8,5,0,0,1,0,6.8,6.8,1.1,7.9,44,37,110,0.33,0.2,0.53,0.33,0.53,0.45,0.08,0.52,0.45,0.52,"https://fbref.com/en/players/e0016d00/Breno",NA
"16",NA,"2023 Palmeiras","Série A","Dudu","BRA","FW","31",14,14,1076,12,3,3,6,3,0,0,0,0,2.4,2.4,3.4,5.8,78,74,127,0.25,0.25,0.5,0.25,0.5,0.2,0.28,0.49,0.2,0.49,"https://fbref.com/en/players/895ef5ec/Dudu",NA
"17",NA,"2023 Palmeiras","Série A","Vanderlan","BRA","DF","20",14,9,909,10.1,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,20,21,61,0,0.2,0.2,0,0.2,0.03,0.13,0.16,0.03,0.16,"https://fbref.com/en/players/bd8432ff/Vanderlan",NA
"18",NA,"2023 Palmeiras","Série A","Jhonatan Jowjow","BRA","MF,FW","20",20,8,891,9.9,0,1,1,0,0,0,5,0,1.2,1.2,2.9,4.1,16,37,37,0,0.1,0.1,0,0.1,0.12,0.29,0.41,0.12,0.41,"https://fbref.com/en/players/f82517a8/Jhonatan-Jowjow",NA
"19",NA,"2023 Palmeiras","Série A","José López","ARG","FW,MF","22",22,5,591,6.6,5,0,5,5,0,0,3,0,3.5,3.5,0.7,4.2,13,19,36,0.76,0,0.76,0.76,0.76,0.54,0.1,0.64,0.54,0.64,"https://fbref.com/en/players/e1426a52/Jose-Lopez",NA
"20",NA,"2023 Palmeiras","Série A","Kaiky Naves","BRA","DF,FW","20",10,5,526,5.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,2,12,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,"https://fbref.com/en/players/621576f9/Kaiky-Naves",NA
