"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","PlayerURL"
"84",NA,"2023 Atlético Mineiro","Série A","Mauricio Lemos","URU","DF","27",24.6,1537,214,757,754,37,15,1537,5,4,80,1,20,894,4992,2902,17,6,0,11,6,934,2,"https://fbref.com/en/players/dbe5a587/Mauricio-Lemos"
"85",NA,"2023 Atlético Mineiro","Série A","Federico Zaracho","ARG","MF,FW","24",21.6,1201,29,177,723,315,40,1201,38,27,71.1,7,18.4,654,2698,1167,16,22,4,43,32,766,74,"https://fbref.com/en/players/803d5265/Federico-Zaracho"
"86",NA,"2023 Atlético Mineiro","Série A","Cristian Pavón","ARG","FW,MF","27",21.5,1212,18,149,519,559,86,1211,75,35,46.7,33,44,788,4810,2412,85,54,32,40,33,905,220,"https://fbref.com/en/players/a664b026/Cristian-Pavon"
"87",NA,"2023 Atlético Mineiro","Série A","Renzo Saravia","ARG","DF","29",19,1252,64,328,687,248,10,1252,51,25,49,23,45.1,649,3525,1899,40,35,2,38,18,694,66,"https://fbref.com/en/players/cf316639/Renzo-Saravia"
"88",NA,"2023 Atlético Mineiro","Série A","Rodrigo Battaglia","ARG","MF","31",19.2,1124,33,197,778,165,19,1124,23,16,69.6,6,26.1,719,4095,2229,38,33,2,14,13,785,27,"https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia"
"89",NA,"2023 Atlético Mineiro","Série A","Mariano","BRA","DF","36",17.4,1233,58,385,674,189,4,1233,18,13,72.2,4,22.2,615,2470,1241,16,20,1,5,1,735,27,"https://fbref.com/en/players/e26f559f/Mariano"
"90",NA,"2023 Atlético Mineiro","Série A","Igor Gomes","BRA","MF,FW","23",15.3,862,15,138,407,331,30,862,43,30,69.8,10,23.3,516,2839,1191,32,27,5,45,16,600,83,"https://fbref.com/en/players/6a7fb945/Igor-Gomes"
"91",NA,"2023 Atlético Mineiro","Série A","Edenílson","BRA","MF,FW","33",15.2,816,27,171,494,154,16,816,15,6,40,9,60,463,2228,1206,24,17,3,26,12,546,50,"https://fbref.com/en/players/4e50f20e/Edenilson"
"92",NA,"2023 Atlético Mineiro","Série A","Rubens","BRA","DF,MF","21",15,1011,65,291,441,287,27,1011,23,14,60.9,8,34.8,477,2255,1124,39,19,12,13,19,569,88,"https://fbref.com/en/players/ae23d044/Rubens"
"93",NA,"2023 Atlético Mineiro","Série A","Bruno Fuchs","BRA","DF","23",12.1,776,99,378,389,17,0,776,5,3,60,2,40,482,2841,1881,5,6,0,2,3,528,0,"https://fbref.com/en/players/ee89e28d/Bruno-Fuchs"
"94",NA,"2023 Atlético Mineiro","Série A","Hyoran","BRA","MF,FW","29",7.7,391,8,47,177,172,15,391,21,10,47.6,10,47.6,224,1156,595,16,19,1,17,5,249,30,"https://fbref.com/en/players/ffb88c28/Hyoran"
"95",NA,"2023 Atlético Mineiro","Série A","Alan Franco","ECU","MF,FW","24",9.3,440,20,108,275,63,9,440,3,1,33.3,2,66.7,206,877,385,4,6,0,6,2,262,8,"https://fbref.com/en/players/c76b161b/Alan-Franco"
"96",NA,"2023 Atlético Mineiro","Série A","Igor Rabello","BRA","DF","27",7.7,456,59,212,235,9,4,456,0,0,NA,0,NA,240,1077,731,2,1,0,3,1,267,0,"https://fbref.com/en/players/48048864/Igor-Rabello"
"97",NA,"2023 Atlético Mineiro","Série A","Pedrinho","BRA","MF,FW","24",7,478,3,32,257,196,2,478,20,11,55,7,35,317,1831,791,15,28,0,14,6,367,34,"https://fbref.com/en/players/6796e284/Pedrinho"
"98",NA,"2023 Atlético Mineiro","Série A","Eduardo Vargas","CHI","FW","33",5.2,197,2,13,102,86,18,197,10,7,70,2,20,131,792,280,6,5,1,13,9,156,25,"https://fbref.com/en/players/bd603c00/Eduardo-Vargas"
"99",NA,"2023 Atlético Mineiro","Série A","Nathan Silva","BRA","DF","25",4,262,26,155,103,5,3,262,1,0,0,0,0,180,1109,820,4,2,0,0,0,195,1,"https://fbref.com/en/players/369d907c/Nathan-Silva"
"100",NA,"2023 Atlético Mineiro","Série A","Patrick","BRA","MF,FW","30",6.2,439,12,99,183,162,22,439,35,14,40,18,51.4,233,1226,566,20,19,8,23,16,284,54,"https://fbref.com/en/players/92add14e/Patrick"
"101",NA,"2023 Atlético Mineiro","Série A","Alan Kardec","BRA","FW,MF","34",2.9,71,1,2,38,32,14,71,2,2,100,0,0,31,98,32,2,0,0,4,1,50,7,"https://fbref.com/en/players/e7fba767/Alan-Kardec"
